,Unnamed: 0,latitude,longitude,ward_name,lga_name,Name of Center
0,0,10.64841828,7.04172503200004,Gayam,Birnin Gwari,Labi Health Center
1,1,10.72583,6.74543,Gayam,Birnin Gwari,Mando Health Center
2,2,10.72504731,6.74529726600002,Gayam,Birnin Gwari,Gayam Health Center
3,3,10.7690580002701,6.64215800023555,Gayam,Birnin Gwari,Girezin Primary Health Carep
4,4,10.791455,6.63634300000007,Gayam,Birnin Gwari,Kafanin Doka Health Center
5,5,10.72504731,6.745297266,Gayam,Birnin Gwari,Health Center Gayam
6,6,10.73392,6.73386,Gayam,Birnin Gwari,Gwaska Health Center
7,7,10.7072270100001,6.68847349500004,Gayam,Birnin Gwari,Polewaya Health Center
8,8,10.70916,6.62427,Gayam,Birnin Gwari,Kwaga Health Center
9,9,10.83862,6.71309,Gayam,Birnin Gwari,Layin Mai Gwari Health Center
10,10,10.71008038,6.62735383000006,Gayam,Birnin Gwari,Kwaga Health Center
11,11,10.6482970409029,7.04175721377079,Gayam,Birnin Gwari,Health Clinic Labi
12,12,10.7072230002562,6.68853299974518,Gayam,Birnin Gwari,Pole Wire's Health Center
13,13,10.66733,6.23012000000006,Kakangi,Birnin Gwari,Ung Bagudu Health Center
14,14,10.6500365000001,6.35722240000007,Kakangi,Birnin Gwari,Sabon Layi Health Clinic
15,15,10.7437870000001,6.12325800000002,Kakangi,Birnin Gwari,Anguwan Bawa Helath Post
16,16,10.7773569999089,6.18054399959055,Kakangi,Birnin Gwari,Kankangi Model Primary Health Center
17,17,10.6525100000001,6.22758000000005,Kakangi,Birnin Gwari,Gagumi Health Post
18,18,10.7744057,6.18090150000006,Kakangi,Birnin Gwari,Katakaki Health Center
19,19,10.6499400003351,6.35427999963599,Kakangi,Birnin Gwari,Sabon Layi Primary Health Center
20,20,10.6466900001269,6.35103000042778,Kakangi,Birnin Gwari,Ikon Allah Nursing And Maternity
21,21,10.7087560000001,6.20771100000007,Kakangi,Birnin Gwari,Kakangi Health Center
22,22,10.638247,6.56963600000006,Magajin Gari 1,Birnin Gwari,Kagi Health Center
23,23,10.6632990004119,6.54677900043003,Magajin Gari 1,Birnin Gwari,Unguwan Shittu Health Clinic
24,24,10.6602894800001,6.54268185600006,Magajin Gari 1,Birnin Gwari,Kungi Health Center
25,25,10.6632747400001,6.54683852600004,Magajin Gari 1,Birnin Gwari,Unguwan Shitu Health Center
26,26,10.66446568,6.54305342600003,Magajin Gari 1,Birnin Gwari,Birnin Gwari Maternal and Child Health Clinic
27,27,10.66028948,6.542681856,Magajin Gari 1,Birnin Gwari,Health Center Kungi
28,28,10.66449,6.543091,Magajin Gari 1,Birnin Gwari,Maternal And Child Healthc Birnin Gwari
29,29,10.65663,6.55048,Magajin Gari 1,Birnin Gwari,Kagi Health Center
