Player,Role,Base Price,Sold Price,Points
Ruturaj Gaikwad (R),Batter,–,₹6 crore,
MS Dhoni (R),Batter,–,₹12 crore,
Hari Nishanth,Batter,₹20 lakh,₹20 lakh,
Subhranshu Senapati,Batter,₹20 lakh,₹20 lakh,
Devon Conway,Batter,₹1 crore,₹1 crore,
Robin Uthappa,Batter,₹2 crore,₹2 crore,
N Jagadeesan,Wicket-keeper,₹20 lakh,₹20 lakh,
Ambati Rayudu,Wicket-keeper,₹2 crore,₹6.75 crore,
Ravindra Jadeja (R),All-rounder,–,₹16 crore,
Moeen Ali (R),All-rounder,–,₹8 crore,
Bhagath Varma,All-rounder,₹20 lakh,₹20 lakh,
Chris Jordan,All-rounder,₹2 crore,₹3.2 crore,
Mitchell Santner,All-rounder,₹1 crore,₹1.9 crore,
Dwaine Pretorius,All-rounder,₹50 lakh,₹50 lakh,
Shivam Dube,All-rounder,₹50 lakh,₹4 crore,
Dwayne Bravo,All-rounder,₹2 crore,₹4.4 crore,
Prashant Solanki,Bowler,₹20 lakh,₹1.2 crore,
Mukesh Choudhary,Bowler,₹20 lakh,₹20 lakh,
Adam Milne,Bowler,₹1.5 crore,₹1.9 crore,
Rajvardhan Hangargekar,Bowler,₹30 lakh,₹1.5 crore,
Simarjeet Singh,Bowler,₹20 lakh,₹20 lakh,
Maheesh Theekshana,Bowler,₹50 lakh,₹70 lakh,
Deepak Chahar,Bowler,₹2 crore,₹14 crore,
Tushar Deshpande,Bowler,₹20 lakh,₹20 lakh,
KM Asif,Bowler,₹20 lakh,₹20 lakh,
