Player,Role,Base Price,Sold Price
Shubman Gill (D),Batter,–,₹8 crore
Sai Sudharsan,Batter,₹20 lakh,₹20 lakh
David Miller,Batter,₹1 crore,₹3 crore
Abhinav Manohar,Batter,₹20 lakh,₹2.6 crore
Jason Roy,Batter,₹2 crore,₹2 crore
Matthew Wade,Wicket-keeper,₹2 crore,₹2.4 crore
Wriddhiman Saha,Wicket-keeper,₹1 crore,₹1.9 crore
Hardik Pandya (D),All-rounder,–,₹15 crore
Vijay Shankar,All-rounder,₹50 lakh,₹1.4 crore
Gurkeerat Singh Mann,All-rounder,₹50 lakh,₹50 lakh
Jayant Yadav,All-rounder,₹1 crore,₹1.7 crore
Dominic Drakes,All-rounder,₹75 lakh,₹1.1 crore
Rahul Tewatia,All-rounder,₹40 lakh,₹9 crore
Rashid Khan (D),Bowler,–,₹15 crore
Varun Aaron,Bowler,₹50 lakh,₹50 lakh
Pradeep Sangwan,Bowler,₹20 lakh,₹20 lakh
Alzarri Joseph,Bowler,₹75 lakh,₹2.4 crore
Darshan Nalkande,Bowler,₹20 lakh,₹20 lakh
Yash Dayal,Bowler,₹20 lakh,₹3.2 crore
Noor Ahmad,Bowler,₹30 lakh,₹30 lakh
R Sai Kishore,Bowler,₹20 lakh,₹3 crore
Lockie Ferguson,Bowler,₹2 crore,₹10 crore
Mohammed Shami,Bowler,₹2 crore,₹6.25 crore
