Player,Role,Base Price,Sold Price
Ramesh Kumar,Batter,₹20 lakh,₹20 lakh
Aman Hakim Khan,Batter,₹20 lakh,₹20 lakh
Abhijeet Tomar,Batter,₹20 lakh,₹40 lakh
Pratham Singh,Batter,₹20 lakh,₹20 lakh
Alex Hales,Batter,₹1.5 crore,₹1.5 crore
Baba Indrajith,Batter,₹20 lakh,₹20 lakh
Rinku Singh,Batter,₹20 lakh,₹55 lakh
Ajinkya Rahane,Batter,₹1 crore,₹1 crore
Shreyas Iyer,Batter,₹2 crore,₹12.25 crore
Sam Billings,Wicket-keeper,₹2 crore,₹2 crore
Sheldon Jackson,Wicket-keeper,₹30 lakh,₹60 lakh
Venkatesh Iyer (R),All-rounder,–,₹8 crore
Andre Russell (R),All-rounder,–,₹12 crore
Sunil Narine (R),All-rounder,–,₹6 crore
Chamika Karunaratne,All-rounder,₹50 lakh,₹50 lakh
Anukul Roy,All-rounder,₹20 lakh,₹20 lakh
Mohammad Nabi,All-rounder,₹1 crore,₹1 crore
Nitish Rana,All-rounder,₹1 crore,₹8 crore
Varun Chakravarthy (R),Bowler,–,₹8 crore
Umesh Yadav,Bowler,₹2 crore,₹2 crore
Rasikh Salam,Bowler,₹20 lakh,₹20 lakh
Ashok Sharma,Bowler,₹20 lakh,₹55 lakh
Tim Southee,Bowler,₹1.5 crore,₹1.5 crore
Shivam Mavi,Bowler,₹40 lakh,₹7.25 crore
Pat Cummins,Bowler,₹2 crore,₹7.25 crore
