Player,Role,Base Price,Sold Price
Evin Lewis,Batter,₹2 crore,₹2 crore
Manan Vohra,Batter,₹20 lakh,₹20 lakh
Manish Pandey,Batter,₹1 crore,₹4.6 crore
KL Rahul (D),Wicket-keeper,–,₹17 crore
Quinton de Kock,Wicket-keeper,₹2 crore,₹6.75 crore
Marcus Stoinis (D),All-rounder,–,₹9.2 crore
Ayush Badoni,All-rounder,₹20 lakh,₹20 lakh
Kyle Mayers,All-rounder,₹50 lakh,₹50 lakh
Karan Sharma,All-rounder,₹20 lakh,₹20 lakh
Krishnappa Gowtham,All-rounder,₹50 lakh,₹90 lakh
Krunal Pandya,All-rounder,₹2 crore,₹8.25 crore
Deepak Hooda,All-rounder,₹75 lakh,₹5.75 crore
Jason Holder,All-rounder,₹1.5 crore,₹8.75 crore
Ravi Bishnoi (D),Bowler,–,₹4 crore
Mayank Yadav,Bowler,₹20 lakh,₹20 lakh
Mohsin Khan,Bowler,₹20 lakh,₹20 lakh
Avesh Khan,Bowler,₹20 lakh,₹10 crore
Shahbaz Nadeem,Bowler,₹50 lakh,₹50 lakh
Dushmantha Chameera,Bowler,₹50 lakh,₹2 crore
Ankit Rajpoot,Bowler,₹20 lakh,₹50 lakh
Mark Wood,Bowler,₹2 crore,₹7.5 crore
