Player,Role,Base Price,Sold Price,Points,Playing
Rohit Sharma (R),Batter,–,₹16 crore,10.5,1
Suryakumar Yadav(R),Batter,–,₹8 crore,9.5,0
Ramandeep Singh,Batter,₹20 lakh,₹20 lakh,7.5,0
Rahul Buddhi,Batter,₹20 lakh,₹20 lakh,8,0
Anmolpreet Singh,Batter,₹20 lakh,₹20 lakh,8,1
Tilak Varma,Batter,₹20 lakh,₹1.7 crore,8,1
Dewald Brevis,All-rounder,₹20 lakh,₹3 crore,8,0
Aryan Juyal,Wicket-keeper,₹20 lakh,₹20 lakh,8,0
Ishan Kishan,Wicket-keeper,₹2 crore,₹15.25 crore,9.5,1
Kieron Pollard (R),All-rounder,–,₹6 crore,9,1
Fabian Allen,All-rounder,₹75 lakh,₹75 lakh,8,0
Hrithik Shokeen,Bowler,₹20 lakh,₹20 lakh,7.5,0
Tim David,Batter,₹40 lakh,₹8.25 crore,8.5,1
Sanjay Yadav,All-rounder,₹20 lakh,₹50 lakh,8,0
Jasprit Bumrah (R),Bowler,–,₹12 crore,9.5,1
Mohammad Arshad Khan,All-rounder,₹20 lakh,₹20 lakh,7.5,0
Arjun Tendulkar,Bowler,₹20 lakh,₹30 lakh,7.5,0
Riley Meredith,Bowler,₹1 crore,₹1 crore,8,0
Tymal Mills,Bowler,₹1 crore,₹1.5 crore,8.5,1
Jofra Archer,Bowler,₹2 crore,₹8 crore,8.5,0
Daniel Sams,All-rounder,₹1 crore,₹2.6 crore,8.5,1
Mayank Markande,Bowler,₹50 lakh,₹65 lakh,8,0
Jaydev Unadkat,Bowler,₹75 lakh,₹1.3 crore,8.5,0
Murugan Ashwin,Bowler,₹20 lakh,₹1.6 crore,8.5,1
Basil Thampi,Bowler,₹30 lakh,₹30 lakh,8,1
