Player,Role,Base Price,Sold Price
Mayank Agarwal (R),Batter,–,₹12 crore
Prerak Mankad,Batter,₹20 lakh,₹20 lakh
Bhanuka Rajapaksa,Batter,₹50 lakh,₹50 lakh
Shikhar Dhawan,Batter,₹2 crore,₹8.25 crore
Jitesh Sharma,Wicket-keeper,₹20 lakh,₹20 lakh
Prabhsimran Singh,Wicket-keeper,₹20 lakh,₹60 lakh
Jonny Bairstow,Wicket-keeper,₹1.5 crore,₹6.75 crore
Benny Howell,All-rounder,₹40 lakh,₹40 lakh
Atharva Taide,All-rounder,₹20 lakh,₹20 lakh
Baltej Singh,All-rounder,₹20 lakh,₹20 lakh
Liam Livingstone,All-rounder,₹1 crore,₹11.5 crore
Shahrukh Khan,All-rounder,₹40 lakh,₹9 crore
Ansh Patel,All-rounder,₹20 lakh,₹20 lakh
Rishi Dhawan,All-rounder,₹50 lakh,₹55 lakh
Arshdeep Singh (R),Bowler,–,₹4 crore
Raj Bawa,Bowler,₹20 lakh,₹2 crore
Vaibhav Arora,Bowler,₹20 lakh,₹20 lakh
Writtick Chatterjee,Bowler,₹20 lakh,₹20 lakh
Nathan Ellis,Bowler,₹75 lakh,₹75 lakh
Harpreet Brar,Bowler,₹20 lakh,₹3.8 crore
Odean Smith,Bowler,₹1 crore,₹6 crore
Sandeep Sharma,Bowler,₹50 lakh,₹50 lakh
Ishan Porel,Bowler,₹20 lakh,₹25 lakh
Rahul Chahar,Bowler,₹75 lakh,₹5.25 crore
Kagiso Rabada,Bowler,₹2 crore,₹9.25 crore
