Player,Role,Base Price,Sold Price,Points,Playing
Yashasvi Jaiswal (R),Batter,–,₹4 crore,8.5,1
Rassie van der Dussen,Batter,₹1 crore,₹1 crore,8.5,0
Karun Nair,Batter,₹50 lakh,₹1.4 crore,8,0
Devdutt Padikkal,Batter,₹2 crore,₹7.75 crore,9,1
Shimron Hetmyer,Batter,₹1.5 crore,₹8.5 crore,9,1
Sanju Samson (R),Wicket-keeper,–,₹14 crore,9.5,1
Jos Buttler (R),Wicket-keeper,—,₹10 crore,10,1
Dhruv Jurel,Wicket-keeper,₹20 lakh,₹20 lakh,8,0
Daryl Mitchell,All-rounder,₹75 lakh,₹75 lakh,8.5,0
James Neesham,All-rounder,₹1.5 crore,₹1.5 crore,8.5,0
Anunay Singh,Bowler,₹20 lakh,₹20 lakh,8,0
Riyan Parag,All-rounder,₹30 lakh,₹3.8 crore,8,1
Nathan Coulter Nile,Bowler,₹2 crore,₹2 crore,8.5,1
Kuldip Yadav,Bowler,₹20 lakh,₹20 lakh,8,0
Shubham Garhwal,All-rounder,₹20 lakh,₹20 lakh,7.5,0
Tejas Baroka,Bowler,₹20 lakh,₹20 lakh,8,0
Kuldeep Sen,Bowler,₹20 lakh,₹20 lakh,8,0
Obed McCoy,Bowler,₹75 lakh,₹75 lakh,8,0
Navdeep Saini,Bowler,₹75 lakh,₹2.6 crore,8,0
KC Cariappa,Bowler,₹20 lakh,₹30 lakh,8,0
Yuzvendra Chahal,Bowler,₹2 crore,₹6.5 crore,9,1
Prasidh Krishna,Bowler,₹1 crore,₹10 crore,8.5,1
Trent Boult,Bowler,₹2 crore,₹8 crore,9,1
Ravichandran Ashwin,Bowler,₹2 crore,₹5 crore,8.5,1
