Player,Role,Base Price,Sold Price,Points,Playing
Kane Williamson (R),Batter,–,₹14 crore,10,1
Ravikumar Samarth,Batter,₹20 lakh,₹20 lakh,8,0
Shashank Singh,All-rounder,₹20 lakh,₹20 lakh,8,0
Aiden Markram,All-rounder,₹1 crore,₹2.6 crore,9,1
Rahul Tripathi,Batter,₹40 lakh,₹8.5 crore,9,1
Priyam Garg,Batter,₹20 lakh,₹20 lakh,8,0
Glenn Philipps,Batter,₹1.5 crore,₹1.5 crore,8.5,0
Vishnu Vinod,Wicket-keeper,₹20 lakh,₹50 lakh,8,0
Nicholas Pooran,Wicket-keeper,₹1.5 crore,₹10.75 crore,9.5,1
Abdul Samad (R),Batter,–,₹4 crore,8.5,1
Sean Abbott,Bowler,₹75 lakh,₹2.4 crore,8,0
Marco Jansen,Bowler,₹50 lakh,₹4.2 crore,8,0
Abhishek Sharma,All-rounder,₹20 lakh,₹6.5 crore,8,1
Washington Sundar,All-rounder,₹1.5 crore,₹8.75 crore,8.5,1
Umran Malik (R),Bowler,—,₹4 crore,8.5,1
Fazalhaq Farooqi,Bowler,₹50 lakh,₹50 lakh,8,0
Saurabh Dubey,Bowler,₹20 lakh,₹20 lakh,8,0
Romario Shepherd,All-rounder,₹75 lakh,₹7.75 crore,8.5,1
Jagadeesha Suchith,Bowler,₹20 lakh,₹20 lakh,8,0
Shreyas Gopal,Bowler,₹20 lakh,₹75 lakh,8.5,0
Kartik Tyagi,Bowler,₹20 lakh,₹4 crore,8,0
Bhuvneshwar Kumar,Bowler,₹2 crore,₹4.2 crore,9,1
T Natarajan,Bowler,₹1 crore,₹4 crore,8.5,1
