state,x,y
Andhra Pradesh,-104,-134
Arunachal Pradesh,216,149
Assam,167,110
Bihar,56,92
Chhattisgarh,-26,1
Goa,-185,-142
Gujarat,-244,30
Haryana,-137,167
Himachal Pradesh,-127,236
Jammu and Kashmir,-173,268
Jharkhand,30,49
Karnataka,-156,-188
Kerala,-173,-244
Madhya Pradesh,-121,32
Maharashtra,-175,-60
Manipur,225,79
Meghalaya,153,91
Mizoram,211,43
Nagaland,236,107
Odisha,18,-24
Punjab,-163,190
Rajasthan,-221,113
Sikkim,130,132
Tamil Nadu,-112,-234
Telangana,-84,-94
Tripura,179,56
Uttar Pradesh,-84,124
Uttarakhand,-88,195
West Bengal,93,24
