LGA,State
Abadam,Borno State
Abaji,Federal Capital Territory
Abak,Akwa Ibom State
Abakaliki,Ebonyi State
Aba-North,Abia State
Aba-South,Abia State
Abeokuta-North,Ogun State
Abeokuta-South,Ogun State
Abi,Cross River State
Aboh-Mbaise,Imo State
Abua-Odual,Rivers State
Abuja-Municipal-Area-Council,Federal Capital Territory
Adavi,Kogi State
Ado-Ekiti,Ekiti State
Ado-Odo-Ota,Ogun State
Afijio,Oyo State
Afikpo-North,Ebonyi State
Afikpo-South--Edda-,Ebonyi State
Agaie,Niger State
Agatu,Benue State
Agwara,Niger State
Agege,Lagos State
Aguata,Anambra State
Ahiazu-Mbaise,Imo State
Ahoada-East,Rivers State
Ahoada-West,Rivers State
Ajaokuta,Kogi State
Ajeromi-Ifelodun,Lagos State
Ajingi,Kano State
Akamkpa,Cross River State
Akinyele,Oyo State
Akko,Gombe State
Akoko-Edo,Edo State
Akoko-North-East,Ondo State
Akoko-North-West,Ondo State
Akoko-South-West,Ondo State
Akoko-South-East,Ondo State
Akpabuyo,Cross River State
Akuku-Toru,Rivers State
Akure-North,Ondo State
Akure-South,Ondo State
Akwanga,Nasarawa State
Albasu,Kano State
Aleiro,Kebbi State
Alimosho,Lagos State
Alkaleri,Bauchi State
Amuwo-Odofin,Lagos State
Anambra-East,Anambra State
Anambra-West,Anambra State
Anaocha,Anambra State
Andoni,Rivers State
Aninri,Enugu State
Aniocha-North,Delta State
Aniocha-South,Delta State
Anka,Zamfara State
Ankpa,Kogi State
Apa,Benue State
Apapa,Lagos State
Ado,Benue State
Ardo-Kola,Taraba State
Arewa-Dandi,Kebbi State
Argungu,Kebbi State
Arochukwu,Abia State
Asa,Kwara State
Asari-Toru,Rivers State
Askira-Uba,Borno State
Atakunmosa-East,Osun State
Atakunmosa-West,Osun State
Atiba,Oyo State
Atisbo,Oyo State
Augie,Kebbi State
Auyo,Jigawa State
Awe,Nasarawa State
Awgu,Enugu State
Awka-North,Anambra State
Awka-South,Anambra State
Ayamelum,Anambra State
Aiyedaade,Osun State
Aiyedire,Osun State
Babura,Jigawa State
Badagry,Lagos State
Bagudo,Kebbi State
Bagwai,Kano State
Bakassi,Cross River State
Bokkos,Plateau State
Bakori,Katsina State
