ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_0040R73,2010-05-14,2011-05-13,Male,30,2010-05-14,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_0046BNK,2010-11-29,2011-11-28,Female,79,2010-11-29,1,JEEP,Grey,TOYOTA,,,Car Classic,1
ID_005QMC3,2010-03-21,2011-03-20,Male,43,2010-03-21,1,Saloon,Red,TOYOTA,,,Car Classic,0
ID_0079OHW,2010-08-21,2011-08-20,Male,2,2010-08-21,1,,,,,,CarSafe,0
ID_00BRP63,2010-08-29,2010-12-31,Entity,20,2010-08-29,3,,,,Lagos,Lagos,Muuve,1
ID_00D3EF6,2010-10-21,2011-10-20,Male,37,2010-10-21,2,,,,,,Car Classic,0
ID_00HHZ8Y,2010-08-02,2011-08-01,Female,40,2010-08-02,3,,,,Ikeja,Lagos,CVTP,0
ID_00M1X6U,2010-09-12,2011-09-11,Male,43,2010-09-12,1,Saloon,,TOYOTA,,,CarSafe,0
ID_00N7XT1,2010-07-06,2011-07-05,Female,71,2010-07-06,2,JEEP,Black,REXTON,Badagry,Benue,Car Classic,0
ID_00QF156,2010-12-18,2011-12-17,Female,58,2010-12-18,1,,,,Eti-Osa,Eti-Osa,Car Classic,0
ID_00RDFUY,2010-12-23,2011-12-22,Female,43,2010-12-23,1,,,,,,CarSafe,0
ID_00TMUS4,2010-10-25,2011-10-23,Male,45,2010-10-25,1,JEEP,,Lexus,Victoria Island,Lagos,Car Plus,0
ID_00VRPZL,2010-01-03,2011-01-02,Male,51,2010-01-03,1,Saloon,,TOYOTA,,,Car Classic,1
ID_00XG988,2010-03-26,2011-03-25,Female,120,2010-03-26,2,,,TOYOTA,Ikoyi,Lagos,Car Classic,0
ID_019TN1T,2010-09-10,2011-09-09,Male,38,2010-09-10,1,,,,Lagos Mainland,Lagos,Car Classic,0
ID_01A4DSV,2010-11-19,2011-11-05,Male,81,2010-11-19,1,,As Attached,Hyundai,EFFURUN,Delta,Car Classic,0
ID_01BJS22,2010-04-26,2011-04-25,Female,69,2010-04-26,1,Saloon,,TOYOTA,,,CarSafe,0
ID_01HTP5J,2010-05-09,2011-05-08,Female,31,2010-05-09,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_01ITX31,2010-06-28,2011-06-27,Male,70,2010-06-28,1,,,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0
ID_01P8CIZ,2010-07-27,2011-06-14,Male,20,2010-07-27,1,,Blue,Iveco,Abeokuta,Ogun,CVTP,0
ID_01T1B6E,2010-12-13,2011-06-12,Entity,20,2010-12-13,2,,,DAF,Lagos,Lagos,CVTP,0
ID_01Z1YOR,2010-10-16,2011-10-15,Male,30,2010-10-16,1,,,,,,Car Classic,0
ID_01ZY7FF,2010-08-07,2011-08-06,Male,30,2010-08-07,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,1
ID_020608O,2010-03-05,2011-03-04,Male,34,2010-03-05,1,Saloon,Blue,TOYOTA,,,Car Classic,0
ID_022U6TV,2010-10-28,2011-10-27,Male,40,2010-10-28,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_02390ZY,2010-12-11,2011-12-10,Male,1,2010-12-11,1,,,,,,CarSafe,0
ID_02DJWEN,2010-01-23,2011-01-16,Male,41,2010-01-23,1,Saloon,Silver,TOYOTA,Yaba,Benue,Car Classic,0
ID_02GM2IL,2010-07-02,2011-07-01,Male,31,2010-07-02,1,Saloon,Grey,TOYOTA,,,Car Classic,0
ID_02NAGK1,2010-03-01,2011-03-01,Male,40,2010-03-01,1,Saloon,,TOYOTA,,,CarSafe,0
ID_02O5FDM,2010-02-10,2011-02-09,Joint Gender,20,2010-02-10,1,,As Attached,TOYOTA,Aguda,Benue,Car Classic,0
ID_02RCBEU,2010-03-16,2011-03-15,Male,47,2010-03-16,2,Saloon,,TOYOTA,Surulere,Lagos,CarSafe,0
ID_02T5M8A,2010-01-22,2011-01-21,Female,40,2010-01-22,1,,Grey,Mercedes,Lagos Mainland,Lagos,Car Classic,0
ID_02XA0UK,2010-10-07,2011-04-05,,34,2010-10-07,1,,,,Victoria Island,Lagos,Car Classic,0
ID_034XN1U,2010-07-02,2011-07-01,,2,2010-07-02,1,Motorcycle,Red,Jincheng,Victoria Island,Lagos,Motor Cycle,0
